,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##SURFACE_AREA##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
FL 5/16X3,3,0.3125,6.625,0.9375,0.703,0.008,0.469,0.049,0.703,0.073,Flat 5/16X3
FL 5/16X3-1/2,3.5,0.3125,7.625,1.0938,1.117,0.009,0.638,0.057,0.957,0.085,Flat 5/16X3 1/2
FL 5/16X3-3/4,3.75,0.3125,8.125,1.1719,1.373,0.01,0.732,0.061,1.099,0.092,Flat 5/16X3 3/4
FL 5/16X4,4,0.3125,8.625,1.25,1.667,0.01,0.833,0.065,1.25,0.098,Flat 5/16X4
FL 5/16X4-1/2,4.5,0.3125,9.625,1.4063,2.373,0.011,1.055,0.073,1.582,0.11,Flat 5/16X4 1/2
FL 5/16X5,5,0.3125,10.625,1.5625,3.255,0.013,1.302,0.081,1.953,0.122,Flat 5/16X5
FL 5/16X5-1/2,5.5,0.3125,11.625,1.7188,4.333,0.014,1.576,0.09,2.363,0.134,Flat 5/16X5 1/2
FL 5/16X6,6,0.3125,12.625,1.875,5.625,0.015,1.875,0.098,2.813,0.146,Flat 5/16X6
FL 5/16X7,7,0.3125,14.625,2.1875,8.932,0.018,2.552,0.114,3.828,0.171,Flat 5/16X7
FL 5/16X8,8,0.3125,16.625,2.5,13.333,0.02,3.333,0.13,5,0.195,Flat 5/16X8
FL 5/16X9,9,0.3125,18.625,2.8125,18.984,0.023,4.219,0.146,6.328,0.22,Flat 5/16X9
FL 5/16X10,10,0.3125,20.625,3.125,26.042,0.025,5.208,0.163,7.813,0.244,Flat 5/16X10
FL 5/16X12,12,0.3125,24.625,3.75,45,0.031,7.5,0.195,11.25,0.293,Flat 5/16X12
FL 3/8X1/2,0.5,0.375,1.75,0.1875,0.004,0.002,0.016,0.012,0.023,0.018,Flat 3/8X1/2
FL 3/8X5/8,0.625,0.375,2,0.2344,0.008,0.003,0.024,0.015,0.037,0.022,Flat 3/8X5/8
FL 3/8X3/4,0.75,0.375,2.25,0.2813,0.013,0.003,0.035,0.018,0.053,0.026,Flat 3/8X3/4
FL 3/8X7/8,0.875,0.375,2.5,0.3281,0.021,0.004,0.048,0.021,0.072,0.031,Flat 3/8X7/8
FL 3/8X1,1,0.375,2.75,0.375,0.031,0.004,0.062,0.023,0.094,0.035,Flat 3/8X1
FL 3/8X1-1/8,1.125,0.375,3,0.4219,0.044,0.005,0.079,0.026,0.119,0.04,Flat 3/8X1 1/8
FL 3/8X1-1/4,1.25,0.375,3.25,0.4688,0.061,0.005,0.098,0.029,0.146,0.044,Flat 3/8X1 1/4
FL 3/8X1-1/2,1.5,0.375,3.75,0.5625,0.105,0.007,0.141,0.035,0.211,0.053,Flat 3/8X1 1/2
FL 3/8X1-3/4,1.75,0.375,4.25,0.6563,0.167,0.008,0.191,0.041,0.287,0.062,Flat 3/8X1 3/4
FL 3/8X2,2,0.375,4.75,0.75,0.25,0.009,0.25,0.047,0.375,0.07,Flat 3/8X2
FL 3/8X2-1/4,2.25,0.375,5.25,0.8438,0.356,0.01,0.316,0.053,0.475,0.079,Flat 3/8X2 1/4
FL 3/8X2-1/2,2.5,0.375,5.75,0.9375,0.488,0.011,0.391,0.059,0.586,0.088,Flat 3/8X2 1/2
FL 3/8X2-3/4,2.75,0.375,6.25,1.0313,0.65,0.012,0.473,0.064,0.709,0.097,Flat 3/8X2 3/4
FL 3/8X3,3,0.375,6.75,1.125,0.844,0.013,0.563,0.07,0.844,0.105,Flat 3/8X3
FL 3/8X3-1/2,3.5,0.375,7.75,1.3125,1.34,0.015,0.766,0.082,1.148,0.123,Flat 3/8X3 1/2
FL 3/8X3-3/4,3.75,0.375,8.25,1.4063,1.648,0.016,0.879,0.088,1.318,0.132,Flat 3/8X3 3/4
FL 3/8X4,4,0.375,8.75,1.5,2,0.018,1,0.094,1.5,0.141,Flat 3/8X4
FL 3/8X4-1/2,4.5,0.375,9.75,1.6875,2.848,0.02,1.266,0.105,1.898,0.158,Flat 3/8X4 1/2
FL 3/8X5,5,0.375,10.75,1.875,3.906,0.022,1.563,0.117,2.344,0.176,Flat 3/8X5
FL 3/8X5-1/2,5.5,0.375,11.75,2.0625,5.199,0.024,1.891,0.129,2.836,0.193,Flat 3/8X5 1/2
FL 3/8X6,6,0.375,12.75,2.25,6.75,0.026,2.25,0.141,3.375,0.211,Flat 3/8X6
