,Shape##other##,W##other##,A##area##inches,Ht##length##inches,b##length##inches,t##length##inches
HSS2X1-1/2X3/16,Rect.,3.670,1.020,2.000,1.500,0.174
HSS2X1-1/2X1/8,Rect.,2.620,0.724,2.000,1.500,0.116
HSS2X1X3/16,Rect.,3.030,0.845,2.000,1.000,0.174
HSS2X1X1/8,Rect.,2.190,0.608,2.000,1.000,0.116
HSS1-3/4X1-3/4X3/16 - Obsolete,Square,3.660,1.020,1.750,1.750,0.174
HSS1-5/8X1-5/8X3/16 - Obsolete,Square,3.340,0.930,1.625,1.625,0.174
HSS1-5/8X1-5/8X1/8 - Obsolete,Square,2.410,0.670,1.625,1.625,0.116
HSS1-1/2X1-1/2X3/16 - Obsolete,Square,3.020,0.850,1.500,1.500,0.174
HSS1-1/2X1-1/2X1/8 - Obsolete,Square,2.190,0.610,1.500,1.500,0.116
HSS1-1/4X1-1/4X3/16 - Obsolete,Square,2.380,0.670,1.250,1.250,0.174
HSS1-1/4X1-1/4X1/8 - Obsolete,Square,1.770,0.490,1.250,1.250,0.116
